INFO:root:Entering main...
INFO:root:Logged cmd arguments
INFO:root:(1585223780.1702306)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223780.1722307)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223780.1732318)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223780.1742322)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223780.6725209)	[SERVER@localhost:5556]: published update
INFO:root:(1585223780.6735237)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223780.6745238)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223780.6765254)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223780.6765254)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223780.6775231)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223780.6785245)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223781.17877)	[SERVER@localhost:5556]: published update
INFO:root:(1585223781.1797724)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223781.1817727)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223781.1817727)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223781.1827729)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223781.1837723)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223781.1847708)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223781.6849399)	[SERVER@localhost:5556]: published update
INFO:root:(1585223781.685938)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223781.6879363)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223781.6889374)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223781.690937)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223781.6919389)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223781.694939)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223782.2180843)	[SERVER@localhost:5556]: published end-message
INFO:root:(1585223782.219087)	[CLIENT@localhost:5559]: received end-message from localhost:5556
INFO:root:(1585223782.219087)	[CLIENT@localhost:5558]: received end-message from localhost:5556
INFO:root:(1585223782.219087)	[CLIENT@localhost:5557]: received end-message from localhost:5556
INFO:root:(1585223782.222086)	[CLIENT@localhost:5557]: shut down
INFO:root:(1585223782.2240872)	[CLIENT@localhost:5558]: shut down
INFO:root:(1585223782.2250872)	[CLIENT@localhost:5559]: shut down
INFO:root:(1585223782.228089)	[SERVER@localhost:5556]: shut down
INFO:root:Exiting main...
