1585657857.0550704	IN	32767	32768	1	
1585657857.0550704	IN	35891	35892	5	
1585657857.0550704	IN	35891	29642	3	
1585657857.0550704	IN	29641	35892	1	
1585657857.0550704	IN	32766	32767	7	
1585657857.2163975	IN	29641	29642	8	
1585657857.2163975	IN	35891	35892	14	
1585657857.2163975	IN	26516	39017	2	
1585657857.2163975	IN	29641	35892	10	
1585657857.2163975	IN	32766	32767	16	
1585657857.2163975	IN	32767	32768	8	
1585657857.2163975	IN	39016	26517	4	
1585657857.2163975	IN	35891	29642	12	
1585657857.2163975	IN	39016	39017	6	
1585657857.3785625	OUT	35891	35892	1	2
1585657857.3785625	OUT	32766	32767	3	2
1585657857.5548844	IN	29641	29642	2	
1585657857.5548844	IN	35891	35892	8	
1585657857.5548844	IN	29641	35892	4	
1585657857.5548844	IN	32766	32767	10	
1585657857.5548844	IN	32767	32768	4	
1585657857.5548844	IN	35891	29642	6	
1585657857.557884	IN	32767	32768	2	
1585657857.557884	IN	35891	35892	6	
1585657857.557884	IN	35891	29642	4	
1585657857.557884	IN	29641	35892	2	
1585657857.557884	IN	32766	32767	8	
1585657857.7233326	IN	29641	29642	9	
1585657857.7233326	IN	35891	35892	15	
1585657857.7233326	IN	26516	39017	3	
1585657857.7233326	IN	29641	35892	11	
1585657857.7233326	IN	32766	32767	17	
1585657857.7233326	IN	39018	26520	2	
1585657857.7233326	IN	32767	32768	9	
1585657857.7233326	IN	35889	29645	4	
1585657857.7233326	IN	26516	26517	1	
1585657857.7233326	IN	39016	26517	5	
1585657857.7233326	IN	35891	29642	13	
1585657857.7233326	IN	39016	39017	7	
1585657857.8806624	OUT	35891	35892	2	2
1585657857.8806624	OUT	32766	32767	4	2
1585657858.0600505	IN	29641	29642	3	
1585657858.0600505	IN	35891	35892	9	
1585657858.0600505	IN	29641	35892	5	
1585657858.0600505	IN	29639	35889	1	
1585657858.0600505	IN	32766	32767	11	
1585657858.0600505	IN	32767	32768	5	
1585657858.0600505	IN	35891	29642	7	
1585657858.0600505	IN	39016	39017	1	
1585657858.0660548	IN	29641	29642	1	
1585657858.0660548	IN	35891	35892	7	
1585657858.0660548	IN	29641	35892	3	
1585657858.0660548	IN	32766	32767	9	
1585657858.0660548	IN	32767	32768	3	
1585657858.0660548	IN	35891	29642	5	
1585657858.2249515	IN	35891	35892	16	
1585657858.2249515	IN	26516	39017	4	
1585657858.2249515	IN	29641	35892	12	
1585657858.2249515	IN	29639	35889	5	
1585657858.2249515	IN	32766	32767	18	
1585657858.2249515	IN	39018	26520	3	
1585657858.2249515	IN	35891	29642	14	
1585657858.2249515	IN	26516	26517	2	
1585657858.2249515	IN	39016	26517	6	
1585657858.2249515	IN	29641	29642	10	
1585657858.2249515	IN	26519	39018	1	
1585657858.2249515	IN	39016	39017	8	
1585657858.383029	OUT	35891	35892	3	3
1585657858.383029	OUT	35891	29642	1	3
1585657858.383029	OUT	32766	32767	5	3
1585657858.5621018	IN	29641	29642	4	
1585657858.5621018	IN	35891	35892	10	
1585657858.5621018	IN	29641	35892	6	
1585657858.5621018	IN	32717	32743	1	
1585657858.5621018	IN	29639	35889	2	
